id_osc,nome,email,endereco,telefone,natureza_juridica,situacao_cadastral
1377379,IGREJA EVANGELICA TEMPLO DAS AGUIAS,NEGRAO.ALEXANDRE@YAHOO.COM.BR,"AVENIDA VEREADOR WADISLAU BUGALSKI, SALA  07",41 33564040,Organização Religiosa,Ativas
1377572,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MISSOES EM PONTAL DO PARANA,VALTEREZEQUIELM@GMAIL.COM,"RUA RUA TANCREDO NEVES, QUADRA43                  LOTE  01 BALNEARIO GRAJAU",41 91381868,Organização Religiosa,Ativas
1377575,"GERAR - GERACAO DE EMPREGO, RENDA E APOIO AO DESENVOLVIMENTO REGIONAL",EV@EVCONTABILIDADE.COM.BR,RUA DOM PEDRO II,41 30396599,Associação Privada,Ativas
1377656,TERCEIRA IGREJA  BATISTA INDEPENDENTE EM PARANAGUA,PAULO@LOCASERVICE-LTDA.COM.BR,RUA DOS EXPEDICIONARIOS,41 84439003,Organização Religiosa,Ativas
1377872,ASSOCIACAO DE ASSISTENCIA AOS DEPENDENTES QUIMICOS E SUAS FAMILIAS - INSTITUTO O PAI ME ADOTOU,VOLARECONTABIL@GMAIL.COM,AVENIDA REPUBLICA DO PARAGUAI,41 99187618,Associação Privada,Ativas
1377870,SANRECICLA - ASSOCIACAO DOS TRABALHADORES DE RECICLAGEM DE SANTA FE,SANRECICLA@HOTMAIL.COM,"ESTRADA ESTRADA RURAL MUNICIPAL PERON 5º SECCAO, LOTE N. 1-B-1",44 32471139,Associação Privada,Ativas
1377923,PENSE PERTO BENEFICIOS E SOCORRO MUTUO,PENSEPERTO@GMAIL.COM,RUA JOAO NETZEL,41 21705000,Associação Privada,Ativas
1377968,IGREJA PENTECOSTAL MISSIONARIA DO ARREBATAMENTO,IP.MISSIONARIADOARREBATAMENTO@GMAIL.COM,RUA DAS ANDORINHAS,41 95283690,Organização Religiosa,Ativas
1377964,ASSOCIACAO DOS MORADORES DA VILA RURAL DO RIO DO MEIO - AMOVILA,APOLO_4863@HOTMAIL.COM,VILA RURAL GREGORIO RANK,44 99711678,Associação Privada,Ativas
1377957,INSTITUTO SAO JOSEENSE,NUNESCONTABILIDADE2019@GMAIL.COM,"RUA VOLUNTARIOS DA PATRIA, SALA  07",11 24020062,Associação Privada,Ativas
1378090,ASSOCIACAO DE PAIS E AUTISTAS DE PRUDENTOPOLIS-APAP,CONTATO@CONTABILIDADESILEMAR.COM.BR,"RUA DOMINGOS LUIZ DE OLIVEIRA, SALA  2",42 34361715,Associação Privada,Ativas
1378071,ARASF - ASSOCIACAO DOS RECICLADORES AUTONOMOS DE SANTA FE,ARASF@HOTMAIL.COM,"RODOVIA PR 418, KM",44 32471139,Associação Privada,Inaptas
1377993,IGREJA PENTECOSTAL GERACAO SANTA,COMEGB100@GMAIL.COM,RUA ERONY HONORIO FERNANDES,41 97220251,Organização Religiosa,Ativas
1378088,ASSOCIACAO FILANTROPICA MAE PRETA DE OYA,LOHANPIETRO85@GMAIL.COM,RUA CALHANDRA,41 98921258,Organização Religiosa,Inaptas
1378183,"GERAR - GERACAO DE EMPREGO, RENDA E APOIO AO DESENVOLVIMENTO REGIONAL",EV@EVCONTABILIDADE.COM.BR,"AVENIDA JULIO ASSIS CAVALHEIRO, QUADRA144                 LOTE  01",41 30396599,Associação Privada,Ativas
1378174,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBALAGENS VAZIAS - INPEV,INPEVFISCAL@INPEV.ORG.BR,"ESTRADA A ESTRADA VILA LOBOS, LOTE  RURAL 55-A",11 30694427,Associação Privada,Ativas
1378250,IGREJA MISSAO GERACAO SANTA,XXX@GMAIL.COM,"RUA PRAIA DA GAVEA, QUADRA68 ZONA 45          LOTE  0348",42 90000000,Organização Religiosa,Ativas
1378327,ASSOCIACAO DOS ESTUDANTES UNIVERSITARIOS DE JACAREZINHO - AEUJAC,SATELITEJAC@HOTMAIL.COM,RUA ADAO APARECIDO QUIRINO,43 35251131,Associação Privada,Ativas
1378321,ASSOCIACAO CASA SOLIDARIA,AMANDA@SANTINONI.COM.BR,RUA MONSENHOR KIMURA,44 32269134,Associação Privada,Inaptas
1378416,ASSOCIACAO DE AGRICULTORES FAMILIARES DE VERA CRUZ DO OESTE,INOVARCONTADORES@HOTMAIL.COM,AVENIDA ANTONIO VILAS BOAS,45 32678000,Associação Privada,Ativas
1378521,INSTITUTO NACIONAL DE PROCESSAMENTO DE EMBALAGENS VAZIAS - INPEV,INPEVFISCAL@INPEV.ORG.BR,"ESTRADA ACESSO PELA ESTRADA MUNICIPAL SG-008, KM 0+908 M",11 30694427,Associação Privada,Ativas
1378578,COMUNIDADE TERAPEUTICA SAO JOSE,JCEXCLUSIVO@GMAIL.COM,"RUA PROFESSOR JOAO DOETZER, SALA  01                  ANDAR 1                   COND  COMERCIAL JOAO DOETZ",41 99190682,Associação Privada,Ativas
1378669,OVER GREEN,HAMADECORP@GMAIL.COM,"RUA ALBERTO FOLLONI, APT   601                 ANDAR 06                  BLOCO PETIT TRIANON ED",41 99156745,Associação Privada,Ativas
1378750,ASSOCIACAO MISSIONARIA CONSTRUINDO VALORES,CONTABILXAVIER@OUTLOOK.COM,RUA DOUTOR LEVI MIRO CARNEIRO,41 96161672,Associação Privada,Ativas
1378763,LIONS CLUBE DE ENTRE RIOS DO OESTE - PR,ZIMMERMANNCTB@HOTMAIL.COM,RUA IPE AMARELO,45 99691628,Associação Privada,Ativas
1378680,ASSOCIACAO BENEFICIENTE O BOM SAMARITANO DO SUDOESTE - PR,LUQUINICONTABILIDADE@HOTMAIL.COM,"RUA VITORINO BAIOCO, LOTE  TOMAZINI",46 84058846,Associação Privada,Ativas
1378920,ACADEMIA PARANAENSE DE DIREITO NOTARIAL E REGISTAL - APDNR,ANOREGPR@ANOREGPR.ORG.BR,"RUA MARECHAL DEODORO, CONJ  1805A               COND  WENCESLAU GLASER ED",41 91790063,Associação Privada,Ativas
1378792,ASSOCIACAO DA IGREJA METODISTA - 6a REGIAO ECLESIASTICA,ROSANGELA@METODISTA.COM,RUA YANI OLIVEIRA MUNHOZ,41 33221675,Organização Religiosa,Ativas
1379068,INSTITUTO ECOTECH,TECHGIRLSBR@GMAIL.COM,"RUA PADRE ANCHIETA, APT   2012                ANDAR 20                  COND  CHAMPAGNAT 2540-OFFIBLOCO CHAMPAGNAT 2540-RESI",41 87061379,Associação Privada,Ativas
1378927,IGREJA EVANGELICA PENTECOSTAL NOSSA MISSAO,ANA@ORBRACON.COM.BR,RUA ALZIR DOS SANTOS ANTUNES,41 34246435,Organização Religiosa,Ativas
1379315,SOCIEDADE FILANTROPICA SEMEAR DE MEDIANEIRA - PR,SEMEAR@SEMEARMEDIANEIRA.ORG.BR,AVENIDA PARANA,45 32640058,Associação Privada,Ativas
1379304,IGREJA CRISTA LIBERTARIA,DANNYWESLEYPASQUALE@GMAIL.COM,RUA GALO-DA-SERRA,44 84222782,Organização Religiosa,Ativas
1379239,PROJETO KIDS,ESCRITORIOMINERVA20@GMAIL.COM,RUA JOSE BRUMATTI,43 34221093,Associação Privada,Inaptas
1379302,CENTRO DE REABILITACAO EMOCIONAL E COMPORTAMENTAL EM ALCOOL E DROGAS - RENASCER,JARBASPALHANO01@GMAIL.COM,"RUA PRINCESA ISABEL, SALA  B",44 97210318,Associação Privada,Ativas
1379306,ASSOCIACAO E COMUNIDADE DO TRATAMENTO DO ALCOOLISMO DOS DEPENDENTES QUIMICOS TERAPEUTICA ILUMINAR DE CIANORTE - ACATEC,ILUMINARCENTROTERAPEUTICO@GMAIL.COM,"ESTRADA TROPEIRO, LOTE  753-A-R",44 98096324,Associação Privada,Ativas
1379322,ASSOCIACAO DE MORADORES DO JARDIM NEMARI E VILA MARTINS (AMNEVIMA),FIEB.ADM2021@GMAIL.COM,RUA EUCLIDES BANDEIRA,41 95201971,Associação Privada,Inaptas
1379325,CENTRO ESPIRITA ANDRE LUIZ,CONTABILIDADESOLEIDE@GMAIL.COM,TRAVESSA DONATTI,46 99758088,Organização Religiosa,Ativas
1379341,AAPOEF ASSOCIACAO DE APOIO A PACIENTES ONCOLOGICOS E FAMILIARES DE PITANGA,AFIRMACON@HOTMAIL.COM,"AVENIDA JOAO GRANDE SOBRINHO, SALA  01",42 98056800,Associação Privada,Ativas
1379447,IGREJA ASSEMBLEIA DE DEUS MISSAO MINISTERIO TOLEDO PR,ATENDIMENTO@RDCON.NET.BR,RUA PATO BRANCO,45 91192742,Organização Religiosa,Ativas
1379430,ASSOCIACAO DOS PRODUTORES DE LEITE DE TOLEDO E REGIAO - APROLTOL,SAUL@ALGOMIX.COM.BR,"AVENIDA MINISTRO CIRNE LIMA, SALA  01",45 91078333,Associação Privada,Ativas
1379407,PLANETA ECO ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS,CONTATO@VALORCONTAB.COM.BR,RUA PROFESSOR PORTHOS VELOZO,41 96166836,Associação Privada,Ativas
1379454,ASSOCIACAO CASA DA LUZ,CASADALUZ248@GMAIL.COM,RUA ANTONIO DA SILVA FERREIRA,41 84641058,Associação Privada,Ativas
1379487,ASSOCIACAO ESPORTIVA COLOMBO FUTSAL FEMININO,JORHENCONTABILIDADE@HOTMAIL.COM,"RUA FELICIO KANIA, BLOCO 09                  APT   101",41 92229200,Associação Privada,Ativas
1379567,ASSOCIACAO DAS MULHERES QUE LUTAM - AMQL,CSCONTADORESASSOCIADOS@HOTMAIL.COM,RUA ATHIS FERNANDES SILVA,42 34221662,Associação Privada,Ativas
1379716,DIOCESE DE JACAREZINHO,FINANCEIRO.MITRA@HOTMAIL.COM,"RODOVIA PR 092 KM 349 + 424 M, KM    ERM 0020 KM 2  31 M KM    ESTRADA SANTUARIO",43 35250707,Organização Religiosa,Ativas
1379822,PARANA PRO BONO,PAULO@MOTTARIBEIRO.ADV.BR,RUA PROFESSOR JOAO ARGEMIRO LOYOLA,41 99377007,Associação Privada,Ativas
1379943,"ASSOCIACAO COMERCIAL, INDUSTRIAL E TECNOLOGICA DE CURITIBA",CONTATO@ACITEC.ORG.BR,"RUA PROFESSOR JOAO MAZZAROTTO, CASA  02                  COND  S/N",41 97353100,Associação Privada,Ativas
1379907,MINISTERIO PLENITUDE O SENHOR E DEUS,MINISTERIOPLENETUDE@GMAIL.COM,RUA ERASMO MOUTINHO,43 91534897,Organização Religiosa,Ativas
1379728,AVEL ASSOCIACAO DE VOLEIBOL DE SANTA IZABEL DO OESTE,AVELVOLEIBOL@GMAIL.COM,AVENIDA DOS PINHEIROS,46 91200302,Associação Privada,Ativas
1379794,"ASSOCIACAO BRASILEIRA DOS FUNCIONARIOS PUBLICOS, AUTARQUIAS E EMPRESAS PRIVADAS DA REGIAO SUL E SUDESTE - ABRASPESP",FINANCEIRO@HARMONIABENEFICIOS.COM.BR,AVENIDA JUSCELINO KUBITSCHEK,11 48928136,Associação Privada,Ativas
1380015,INSTITUTO RETORNAR,FINANCEIROINSTITUTO@RETORNAR.COM.BR,"AVENIDA AYRTON SENNA DA SILVA, SALA  502 E 503",43 33618548,Associação Privada,Ativas
1380035,COMUNIDADE FAMILIA DE DEUS,COMUNIDADEFAMILIADEDEUS@GMAIL.COM,RUA DOUTOR DANILO GOMES,41 95308678,Associação Privada,Ativas
1380155,ASSOCIACAO SARANDIENSE DE HANDEBOL (ASH),EDMILSON.HAND@HOTMAIL.COM,RUA EUCLIDES DA CUNHA,44 99511713,Associação Privada,Ativas
1380204,PROJETO SEMEANDO O AMOR E RESGATANDO VIDAS,PROJETO2022SEMEANDOOAMOR@GMAIL.COM,"RUA JOAQUIM CEZARIO LEITE, QUADRA6                   LOTE  10",44 98539556,Associação Privada,Ativas
1380067,INSTITUTO XAMANICO SOPRO DA ALDEIA,DARPOSSOLO.RENATA@GMAIL.COM,RUA MARIA JOSE CARNEIRO,43 88140950,Organização Religiosa,Ativas
1380302,MINISTERIO MEVAM ARAUCARIA,CONTABILIDADE@ELEVENCONTABILIDADE.COM.BR,RUA GRALHA-AZUL,41 91045629,Organização Religiosa,Ativas
1380310,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,PASTORGILBERTOZAMBOTI@HOTMAIL.COM,RUA ADAO DE OLIVEIRA,44 98148085,Associação Privada,Ativas
1380315,ASSOCIACAO AERODESPORTIVA PARANAVAIENSE,ESCRITORIOOMEGA@HOTMAIL.COM,RUA DUQUE DE CAXIAS,44 30452049,Associação Privada,Inaptas
1380366,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,PASTORGILBERTOZAMBOTI@HOTMAIL.COM,AVENIDA UMUARAMA,44 98148085,Associação Privada,Ativas
1380387,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,PASTORGILBERTOZAMBOTI@HOTMAIL.COM,AVENIDA CURITIBA,44 98148085,Associação Privada,Ativas
1380376,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,PASTORGILBERTOZAMBOTI@HOTMAIL.COM,RUA ONOFRE PIRES,44 98148085,Associação Privada,Ativas
1380383,ASSOCIACAO DOS BOLONISTAS VIVIDENSES - ABV,CONTECCVV@GMAIL.COM,RODOVIA BR 373,46 99218376,Associação Privada,Ativas
1380408,"ASSOCIACAO DE PROTECAO AOS ANIMAIS, AMIGOS DOS BICHOS",HYLO@FERAZZOCONTABILIDADE.COM.BR,RUA LUIZ PERONDI,46 35651286,Associação Privada,Ativas
1380592,ASSOCIACAO ATLETICA ACADEMICA DE MEDICINA DE PATO BRANCO,AAAMPBMED@GMAIL.COM,"RUA BENJAMIN BORGES DOS SANTOS, SALA  27                  BLOCO F",46 99299992,Associação Privada,Ativas
1380493,IGREJA EVANGELICA RESTAURANDO VIDAS FAZENDO A DIFERENCA,CONTATO@GRUPOSILVAESOUSA.COM.BR,RUA RUA MARECHAL DEODORO DA FONSECA,61 33878323,Organização Religiosa,Ativas
1380721,ASSOCIACAO DUQUEANA DE PUNHOBOL,ADPDUQUEPUNHOBOL@GMAIL.COM,"RUA NICARAGUA, APT   41",41 96980081,Associação Privada,Ativas
1380674,IGREJA DA ROCHA,AIGREJADAROCHA@GMAIL.COM,RUA PROFESSOR ANTONIO DOS SANTOS FILHO,41 96788827,Organização Religiosa,Ativas
1380898,CENTRO DE UMBANDA OGUM DAS MATAS E AFRO XANGO AGANJU,TERAPEUTALUCIANORODRIGUES@GMAIL.COM,"ESTRADA LOTE RURAL 73-C, GLEBA 120-CP, LOTE  SITIO",46 99077732,Organização Religiosa,Ativas
1380686,IGREJA PENTECOSTAL NOVA ALIANCA COM CRISTO,HERANCACONTABILIDADE@GMAIL.COM,"AVENIDA PARANA, LOTE  12                  QUADRA8",27 34412374,Organização Religiosa,Ativas
1380724,ASSOCIACAO DE CICLISMO DE  FORMOSA DO OESTE PR - PEDAL CROSS FORMOSA,ESCRITORIOIPEFORMOSA@HOTMAIL.COM,PRACA ENIO PIPINO,44 97392354,Associação Privada,Ativas
1380940,ASSOCIACAO SERVOS DA MISERICORDIA DE JESUS E MARIA,DETI.IACIUK@GMAIL.COM,RUA ANTONIO EUSTACHIO DE OLIVEIRA,41 84981640,Associação Privada,Inaptas
1380934,ASSOCIACAO DE  MORADORES AMIGOS COOHABTTRAN I - AMAC I,UNIBELBELTRAO@GMAIL.COM,"RUA DOS TRANSPORTADORES, LOTE  01 QUADRA 1293",46 99341005,Associação Privada,Ativas
1381068,ASSOCIACAO DOS PEQUENOS AGRICULTORES SONHO REAL AVANTE,VALDIRMST@HOTMAIL.COM,ESTRADA ASSENTAMENTO CHE GUEVARA,44 97462845,Associação Privada,Ativas
1381024,SUBLIME CAPITULO APOSTOLO DA CARIDADE REGIAO DE CURITIBA,DAUSIOCAPRIOTTI@HOTMAIL.COM,RUA ANTONIO MARTINS DE ARAUJO,41 99713542,Associação Privada,Ativas
1381196,INSTITUTO CISNE BRANCO CULTURAL,INSTITUTOCISNEBRANCOCULTURAL@GMAIL.COM,"RUA MARECHAL FLORIANO PEIXOTO, SALA  14-A",45 88248155,Associação Privada,Ativas
1381012,COMUNIDADE EVANGELICA DE CRUZEIRO DO OESTE,EDUARDOFRESNEDA@HOTMAIL.COM,AVENIDA RIACHUELO,44 99767576,Associação Privada,Ativas
1381095,ASSEMBLEIA DE DEUS PENTECOSTAL DEUS E O REI DA GLORIA,FIEB.ADM2021@GMAIL.COM,"RUA GASTAO LUIZ CRULS, CASA  03                  COND  MOEMA V RES",41 95201971,Organização Religiosa,Ativas
1381212,ASSOCIACAO RK SPORTS,VITORIANO280@HOTMAIL.COM,RUA BENJAMIN CONSTANT,42 99374313,Associação Privada,Ativas
1381246,ASSOCIACAO DE PESCADORES OLHO D' AGUA,VALTERLESTEVAO@GMAIL.COM,AVENIDA DEPUTADO ANIBAL KHURY,41 99757975,Associação Privada,Ativas
1381417,ASSOCIACAO DOS PROTETORES DE ANIMAIS UNIDOS DE GUARATUBA,ALESSANDRAT716@GMAIL.COM,AVENIDA JUVEVE,41 96271137,Associação Privada,Ativas
1381276,APROBRASIL - ASSOCIACAO PROMOTORA DO INSTITUTO ROTARY DO BRASIL 2023,CARLETTO@SIGHA.COM.BR,"RUA RUA 7 DE SETEMBRO, SALA  602",45 32544477,Associação Privada,Ativas
1381287,ASSOCIACAO DE PEQUENOS PRODUTORES RURAIS BAIRRO CASA QUEIMADA - APCQ,MAFFERANT@HOTMAIL.COM,RUA PORTO ALEGRE,44 34641024,Associação Privada,Inaptas
1381381,ASSOCIACAO COMUNITARIA UNIDOS D SAO JOSE,TIAGOFUNEZ@ESCCONFIANCA.COM.BR,"ESTRADA PRINCIPAL, SALA  .",45 32322291,Associação Privada,Ativas
1381403,IGREJA PENTECOSTAL RENOVO DO SENHOR - LARANJAL PR.,CONTABILIDADE.PALMITAL@HOTMAIL.COM,AVENIDA PARANA,42 99313671,Organização Religiosa,Ativas
1381549,INSTITUTO TREINADOR CUCA,INSTITUTOTREINADORCUCA@GMAIL.COM,AVENIDA MANOEL RIBAS,41 30443788,Associação Privada,Ativas
1381493,INSTITUTO 100 FRONTEIRAS,CONTATO@100FRONTEIRAS.COM,"AVENIDA JUSCELINO KUBITSCHEK, SALA  01",45 30252829,Associação Privada,Ativas
1381731,ASSOCIACAO DE SOM AUTOMOTIVO DE FRANCISCO BELTRAO,ARMANDO.STT@GMAIL.COM,RUA GRAMADO,46 91351866,Associação Privada,Inaptas
1381930,COMUNIDADE CRISTA NOVA IDENTIDADE,MARIAHELENA.ARAUJO@HOTMAIL.COM,RUA JOAO JOSE VALENTINI,41 98150234,Organização Religiosa,Ativas
1381943,ASSOCIACAO CAMPEIRA DO CTG RODEIO DA TRADICAO,ATENDIMENTO@CONTASSECONTABILIDADE.COM.BR,RUA LAGOA ARAUCARIA,45 32259975,Associação Privada,Ativas
1381954,CENTRO DE DIREITOS HUMANOS DE CASCAVEL,CRDHCASCAVEL@GMAIL.COM,RUA DAS PALMEIRAS,45 88125380,Associação Privada,Ativas
1382042,INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO,FISCAL.USB@ADVENTISTAS.ORG,AVENIDA SANTA TEREZINHA,41 32177700,Associação Privada,Ativas
1382155,ASSOCIACAO COMUNITARIA DO POCO ARTESIANO KM 14,RODILDO_RAMOS@HOTMAIL.COM,RODOVIA PR 082 KM 14,43 99379795,Associação Privada,Ativas
1382213,IGREJA EVANGELICA ASSEMBLEIA DE DEUS MISSOES - MONTE LIBANO,IEAD.MONTELIBANO@GMAIL.COM,RUA ALBINO ZANCHIM,44 33003871,Organização Religiosa,Ativas
1382264,ASSOCIACAO DESPORTIVA DE PAIS E ALUNOS DOS ATLETAS DE FUTSAL E FUTEBOL - TK FUTSAL,TKFUTSALSMO@GMAIL.COM,RUA JOAO TOMEN,42 99482080,Associação Privada,Ativas
1382273,COMUNIDADE MISSIONARIA ENVIAME,COMUNIDADEMISSIONARIAENVIAME@OUTLOOK.COM,RUA JOSE DE ALENCAR,46 99000830,Organização Religiosa,Ativas
1382338,INSTITUTO RIC,AROLDO.GOMES@GRUPORIC.COM.BR,RUA AMAURY LANGE SILVERIO,41 33316206,Associação Privada,Ativas
1382601,IGREJA COMUNIDADE CRISTA MINISTERIO HERANCA,SILCONTA@GMAIL.COM,RUA JOAO HERMANN DE GEUS,42 99107839,Organização Religiosa,Ativas
1382602,ASSOCIACAO DE COMPOSSUIDORES DO RESIDENCIAL POTIGUARA (ACRP),ALGARCIA462@HOTMAIL.COM,RUA GENERAL DACIO CESAR,42 98027899,Associação Privada,Ativas
1382782,COMUNIDADE EVANGELICA PENIEL MINISTERIO ARAPONGAS,XMLESCRITORIOIDEAL@OUTLOOK.COM,RUA ROLA ESPELHO,43 99206846,Organização Religiosa,Inaptas
1382694,INSTITUTO ALIANCA GENTEBOA,LIZ@GENTEBOA.ORG,RUA UBALDINO DO AMARAL,41 88135916,Associação Privada,Ativas
1382622,CENTRO DE INTEGRACAO EMPRESA-ESCOLA DO PARANA,ARAUCARIA@CIEEPR.ORG.BR,"AVENIDA CAETANO MUNHOZ DA ROCHA, COND  COM. DDF BAGGIO     SALA  03",41 33134325,Associação Privada,Ativas
1382814,ASSOCIACAO DOS MORADORES E PROPRIETARIOS DA ESTANCIA VALE VERDE,TROPICALFISCAL@TERRA.COM.BR,RODOVIA CARLOS JOAO STRASS,43 99963912,Associação Privada,Ativas
1382865,ASSOCIACAO DAS ACACIAS DA LOJA MACONICA QUINTINO BOCAIUVA,SONHOMEU10@OUTLOOK.COM,RUA PIAUI,45 32541802,Associação Privada,Ativas
1383090,ASSOCIACAO CURA EM FLOR,CURAEMFLORPR@GMAIL.COM,"RUA FERNANDO DE NORONHA, SALA  48",43 99190653,Associação Privada,Ativas
1383308,ASSOCIACAO DE PAIS E ATLETAS JUDOPINHAIS,JUDOPINHAIS@GMAIL.COM,"RUA RIO PURUS, APT   APTO 1911 - TERREO -",41 96272448,Associação Privada,Ativas
1383141,ASSOCIACAO BENEFICIENTE NOVA GERACAO,SUDOESTECONTABILIDADE@HOTMAIL.COM,RUA CLECI SALETE MAIOLI,46 99194829,Associação Privada,Ativas
1383146,CENTRO DE TRADICOES GAUCHAS UNIAO GAUCHA DE PINHAO,ADVGABRIELSCHWAB@HOTMAIL.COM,OUTEIRO LOCALIDADE DE FAXINAL DOS RIBEIROS,42 99095798,Associação Privada,Ativas
1383329,COMUNIDADE INTERNACIONAL APOSTOLICA PROFETICA SHEMA RESERVA,PRCHARLESPINTO@HOTMAIL.COM,RUA DR JOAO AYRES DE MELLO,21 82834555,Organização Religiosa,Ativas
1383327,ASSOCIACAO DOS MAGISTRADOS DO PARANA,CONTABILIDADE@JUDICEMED.COM.BR,"RUA ALBERTO FOLLONI, LOJA  CM                  ANDAR TR                  COND  DESEMBARGADOR FRANCI",41 30171611,Associação Privada,Ativas
1383370,ASSOCIACAO CLUBE DE TIRO ALVO CERTO,CONTATOCONTABIL@PASTORELLI.CNT.BR,AVENIDA MONTEIRO LOBATO,44 30472259,Associação Privada,Ativas
1383443,ASSOCIACAO NOVA VIDA,CASANOVAVIDADATRIFRONTEIRA@GMAIL.COM,"ESTRADA MUNICIPAL, EDIF  ESCOLA",49 91110505,Associação Privada,Ativas
1383439,MINISTERIO DEUS E VIDA,ANTONIOJACINTO@HOTMAIL.COM,RUA ERNANDES DE OLIVEIRA,45 91251112,Organização Religiosa,Inaptas
1383542,ASSOCIACAO DOS ARTESAOS DA PRACA DOS IMIGRANTES - AAPI,ESCOFERBUROC@HOTMAIL.COM,RUA RETA DO PORTO,41 95462036,Associação Privada,Ativas
1383537,ASSOCIACAO MAOS DO BEM,FEMOCLAM@HOTMAIL.COM,RUA MONSENHOR SCALABRINI,41 88070010,Associação Privada,Inaptas
1383563,METROPOLIA CATOLICA UCRANIANA SAO JOAO BATISTA,LEODAVIBIDA@GMAIL.COM,RUA MARANHAO,41 99464644,Organização Religiosa,Ativas
1383473,EN-THEOS CHURCH,CHURCH.ENTHEOS@GMAIL.COM,RUA LAUDELINO FERREIRA LOPES,41 98851595,Organização Religiosa,Ativas
1383461,CENTRO DE INTEGRACAO EMPRESA-ESCOLA DO PARANA,LONDRINA@CIEEPR.ORG.BR,RUA REINALDO MASSI,43 33224226,Associação Privada,Ativas
1383862,INSTITUTO JAIRO MARCELINO,FRAN@JULIAPIETRA.COM.BR,RUA JOSE NICOLLETTI,41 91422125,Associação Privada,Ativas
1383782,ASSOCIACAO COMUNITARIA COXILHA RICA,ITAPEJARA@SUDOMED.COM.BR,COMUNIDADE COXILHA RICA,46 99337504,Associação Privada,Ativas
1383894,ASSOCIACAO DE MAES DE AUTISTAS DE SANTA TEREZA DO OESTE  AMASTO,SIMONE.RCC@HOTMAIL.COM,RUA CASTRO ALVES,45 99537995,Associação Privada,Ativas
1384001,ASSOCIACAO BRASILEIRA DE FRANQUEADOS DA THE COFFEE,CONTATO@I9CAOCONTABIL.COM.BR,RUA MATO GROSSO,41 30925566,Associação Privada,Ativas
1384212,IGREJA EVANGELICA ASSEMBLEIA DE DEUS EM QUATIGUA-PARANA,REISHR@HOTMAIL.COM,RUA AUGUSTO GONCALVES DE ANDRADE,41 96274824,Organização Religiosa,Ativas
1383898,IGREJA PENTECOSTAL PROVISAO DE CRISTO,ALVORADA@ALVORADAESCRITORIO.COM.BR,AVENIDA BRASIL,44 88607119,Organização Religiosa,Ativas
1384273,ASSOCIACAO DOS PRODUTORES DE CAMOMILA DE MANDIRITUBA CAMANDI,CONTATO@CONTABILIDADESANTAHELENA.COM.BR,ESTRADA DO CHIMBOVEIRO,41 98430958,Associação Privada,Ativas
1384289,IGREJA ASSEMBLEIA DE DEUS NOVO TEMPLO DE FE,COSPE2011@GMAIL.COM,RUA PADRE FRANCISCO VAN DE WATER,41 87082263,Organização Religiosa,Ativas
1384583,ASSOCIACAO CULTURAL SAO JOAO PAULO II FOZ,CONTABILIDADE@CARBONI.COM.BR,"AVENIDA PARANA, SALA  05",45 35233388,Associação Privada,Ativas
1384490,"ASSOCIACAO SAN JULIAN, AMIGOS E COLABORADORES",CONTABIL@SANJULIAN.ORG.BR,RUA ANTONIO APARECIDO ESTEVES,41 36738350,Associação Privada,Ativas
1384850,IGREJA EVANGELICA COMUNIDADE JERUSALEM,GAMBATORINO@GMAIL.COM,"AVENIDA LIDIA CALABRETA MASSI, SALA  TERREO",44 34323468,Organização Religiosa,Ativas
1384867,MINISTERIO PENTECOSTAL GUERREIROS DE CRISTO JESUS,CCMACM@HOTMAIL.COM,RUA CLAUDIONOR NASCIMENTO,41 84941831,Organização Religiosa,Inaptas
1384868,ASSOCIACAO  CENTRO  CULTURAL  NOSSA  GINGA  CURITIBA  CCNG   CWB,FEMOCLAM@HOTMAIL.COM,RUA SAO CRISTOVAO,41 85274784,Associação Privada,Ativas
1384897,"ASSOCIACAO BRASILEIRA DE ARTES MARCIAIS, ESPORTE E CULTURA - ABAMEC",JOSIELJORDAODACRUZ@GMAIL.COM,RUA DESAUDA BOSCO DA COSTA PINTO,41 34624123,Associação Privada,Ativas
1385000,IGREJA BATISTA INDEPENDENTE SANTA CRUZ,MASTERCONTABILIDADE.FISCAL@HOTMAIL.COM,RUA PUBLIO PIMENTEL,45 99002795,Organização Religiosa,Ativas
1385077,ASSOCIACAO DOS EMPREGADOS DA COOPERATIVA AGROINDUSTRIAL NOVA PRODUTIVA,ASSOCIACAONOVAPRODUTIVA@GMAIL.COM,"ESTRADA VICINAL ASTORGA/JAGUAPITA, SALA  03",44 97160075,Associação Privada,Ativas
1385200,BOLSA DE LICITACOES & LEILOES BR.,CONTASARECEBER@BLL.ORG.BR,AVENIDA CAMILO DI LELLIS,41 30974600,Associação Privada,Ativas
